ScheduleName,Date,Time,Latitude,Longtitude,Notes,MainImage
부산역,2024-12-31,13:00,35.11479,129.039692,🚈무궁화호,https://lh5.googleusercontent.com/p/AF1QipPiKKZaHav4WrlhRX50KzzwKRhu70p4fuqScMQS=w408-h306-k-no
그랩디오션송도,2024-12-31,15:00,35.077516,129.01793,방 업그레이드 됨😎,https://lh5.googleusercontent.com/p/AF1QipPeqirz1S1jZnpt5tlfHkce6teVd7VGU0_OQ6G8=w408-h600-k-no
송도해상케이블카 송도스카이파크,2024-12-31,16:00,35.062004,129.020714,🚌버스로 이동,https://lh5.googleusercontent.com/p/AF1QipM_kOtFPkej-lGZh92gvXl4xUZe3C31rXFBKTFe=w262-h104-p-k-no
송도 베이스테이션(해상케이블카),2024-12-31,17:30,35.076668,129.023628,티켓 구매,https://lh5.googleusercontent.com/p/AF1QipPE-1LdpUK89zeB9jRmv6kEh-jekkIrgXcFHO0v=w262-h104-p-k-no
부산자갈치시장,2024-12-31,18:30,35.097268,129.030832,자갈치시장에서 저녁식사,https://lh5.googleusercontent.com/p/AF1QipO1-mlO8oZSR-Dc6VZqLj6_AZ0h66k4wUykLoYq=w408-h306-k-no
